Publication ID,Journal,Authors,Title,Abstract,Genes,Drugs,Diseases
33477509,Int J Mol Sci,"['Layalle S', 'They L', 'Ourghani S', 'Raoul C', 'Soustelle L']",Amyotrophic Lateral Sclerosis Genes in Drosophila melanogaster.,"Amyotrophic lateral sclerosis (ALS) is a devastating adult-onset neurodegenerative disease characterized by the progressive degeneration of upper and lower motoneurons. Most ALS cases are sporadic but approximately 10% of ALS cases are due to inherited mutations in identified genes. ALS-causing mutations were identified in over 30 genes with superoxide dismutase-1 (SOD1), chromosome 9 open reading frame 72 (C9orf72), fused in sarcoma (FUS), and TAR DNA-binding protein (TARDBP, encoding TDP-43) being the most frequent. In the last few decades, Drosophila melanogaster emerged as a versatile model for studying neurodegenerative diseases, including ALS. In this review, we describe the different Drosophila ALS models that have been successfully used to decipher the cellular and molecular pathways associated with SOD1, C9orf72, FUS, and TDP-43. The study of the known fruit fly orthologs of these ALS-related genes yielded significant insights into cellular mechanisms and physiological functions. Moreover, genetic screening in tissue-specific gain-of-function mutants that mimic ALS-associated phenotypes identified disease-modifying genes. Here, we propose a comprehensive review on the Drosophila research focused on four ALS-linked genes that has revealed novel pathogenic mechanisms and identified potential therapeutic targets for future therapy.","['superoxide dismutase-1', 'SOD1', 'TAR DNA-binding protein', 'TDP-43', 'SOD1', 'TDP-43']",[],"['Amyotrophic Lateral Sclerosis', 'Amyotrophic lateral sclerosis', 'ALS', 'neurodegenerative disease', 'ALS', 'ALS', 'ALS', 'neurodegenerative diseases', 'ALS', 'ALS', 'ALS', 'ALS', 'ALS']"
32545924,Biomolecules,"['Cores Á', 'Piquero M', 'Villacampa M', 'León R', 'Menéndez JC']",NRF2 Regulation Processes as a Source of Potential Drug Targets against Neurodegenerative Diseases.,"NRF2 acts by controlling gene expression, being the master regulator of the Phase II antioxidant response, and also being key to the control of neuroinflammation. NRF2 activity is regulated at several levels, including protein degradation by the proteasome, transcription, and post-transcription. The purpose of this review is to offer a concise and critical overview of the main mechanisms of NRF2 regulation and their actual or potential use as targets for the treatment of neurodegenerative diseases.","['NRF2', 'NRF2', 'NRF2', 'NRF2']",[],"['Neurodegenerative Diseases', 'neuroinflammation', 'neurodegenerative diseases']"
30618605,Front Mol Neurosci,"['Monahan ZT', 'Rhoads SN', 'Yee DS', 'Shewmaker FP']",Yeast Models of Prion-Like Proteins That Cause Amyotrophic Lateral Sclerosis Reveal Pathogenic Mechanisms.,"Many proteins involved in the pathogenic mechanisms of amyotrophic lateral sclerosis (ALS) are remarkably similar to proteins that form prions in the yeast Saccharomyces cerevisiae. These ALS-associated proteins are not orthologs of yeast prion proteins, but are similar in having long, intrinsically disordered domains that are rich in hydrophilic amino acids. These so-called prion-like domains are particularly aggregation-prone and are hypothesized to participate in the mislocalization and misfolding processes that occur in the motor neurons of ALS patients. Methods developed for characterizing yeast prions have been adapted to studying ALS-linked proteins containing prion-like domains. These yeast models have yielded major discoveries, including identification of new ALS genetic risk factors, new ALS-causing gene mutations and insights into how disease mutations enhance protein aggregation.",[],[],"['Amyotrophic Lateral Sclerosis', 'amyotrophic lateral sclerosis', 'ALS', 'ALS', 'ALS', 'ALS']"
37868386,Cureus,"['Hoxhaj P', 'Hastings N', 'Kachhadia MP', 'Gupta R', 'Sindhu U', 'Durve SA', 'Azam A', 'Auz Vinueza MJ', 'Bhuvan', 'Win SH', 'Rathod DC', 'Afsar AP']",Exploring Advancements in the Treatment of Amyotrophic Lateral Sclerosis: A Comprehensive Review of Current Modalities and Future Prospects.,"Amyotrophic lateral sclerosis (ALS) is a fatal and incurable disease requiring a multidisciplinary treatment approach and a collaborative therapeutic effort. A combination of both upper and lower motor neuron degeneration ultimately leads to respiratory failure, similar to other dementia-type neurodegenerative diseases. The aim of this paper is to pioneer current ALS research by carrying out a narrative literature review of the current treatment modalities of the disease. Through these efforts, we hope to condense the most pertinent information regarding current treatments and enhance the management of ALS patients as a whole, giving these patients a better quality of life as the search for a cure continues. We used a Pubmed search strategy and specific MeSH terms for the selection of the literature articles using the keywords ""ALS,"" ""new treatment,"" ""treatment,"" and ""symptomatic treatment."" A combination of pharmaceutical interventions, psychological support, and physical rehabilitation has been most effective in enhancing the quality of life of patients with ALS (PALS). Among potential pharmacological therapies, only a few have been approved by the US Food and Drug Administration(FDA) to be used to treat ALS and its symptoms. Other treatment modalities being considered include gene therapy, cellular therapy, psychological therapy, physical therapy, and speech therapy, alongside robotics, alternative feeding methods, and communication devices.",[],[],"['Amyotrophic Lateral Sclerosis', 'Amyotrophic lateral sclerosis', 'ALS', 'upper', 'motor neuron degeneration', 'respiratory failure', 'dementia', 'neurodegenerative diseases', 'ALS', 'ALS', 'ALS', 'ALS', 'PALS', 'ALS']"
31133804,Front Cell Neurosci,"['Jones MK', 'Nair A', 'Gupta M']",Mast Cells in Neurodegenerative Disease.,"Neurodegenerative diseases affect millions of people worldwide, yet there are currently no effective treatments. Because risk of neurodegenerative disease substantially increases with age, greater life expectancy with a concomitant aging population means more individuals will be affected in the coming decades. Thus, there is an urgent need for understanding the mechanisms driving neurodegenerative diseases in order to develop improved treatment strategies. Inflammation in the nervous system, termed ""neuroinflammation,"" has become increasingly recognized as being associated with neurodegenerative diseases. Early attention focused primarily on morphological changes in astrocytes and microglia; however, brain and CNS resident mast cells are now receiving attention as a result of being ""first responders"" to injury. Mast cells also exert profound effects on their microenvironment and neighboring cells including behavior and/or activation of astrocytes, microglia, and neurons, which, in turn, are implicated in neuroinflammation, neurogenesis and neurodegeneration. Mast cells also affect disruption/permeability of the blood brain barrier enabling toxin and immune cell entry exacerbating an inflammatory microenvironment. Here, we discuss the roles of mast cells in neuroinflammation and neurodegeneration with a focus on development and progression of four prominent neurodegenerative diseases: Alzheimer's Disease, Parkinson's Disease, Amyotrophic Lateral Sclerosis, and Huntington's Disease.",[],[],"['Neurodegenerative Disease', 'Neurodegenerative diseases', 'neurodegenerative disease', 'neurodegenerative diseases', 'Inflammation in the nervous system', 'neuroinflammation', 'neurodegenerative diseases', 'neuroinflammation', 'neurodegeneration', 'inflammatory', 'neuroinflammation', 'neurodegeneration', 'neurodegenerative diseases', ""Alzheimer's Disease"", ""Parkinson's Disease"", 'Amyotrophic Lateral Sclerosis', ""Huntington's Disease""]"
36500540,Molecules,"['Angelopoulou E', 'Pyrgelis ES', 'Piperi C']",Emerging Potential of the Phosphodiesterase (PDE) Inhibitor Ibudilast for Neurodegenerative Diseases: An Update on Preclinical and Clinical Evidence.,"Neurodegenerative diseases constitute a broad range of central nervous system disorders, characterized by neuronal degeneration. Alzheimer's disease, Parkinson's disease, amyolotrophic lateral sclerosis (ALS), and progressive forms of multiple sclerosis (MS) are some of the most frequent neurodegenerative diseases. Despite their diversity, these diseases share some common pathophysiological mechanisms: the abnormal aggregation of disease-related misfolded proteins, autophagosome-lysosome pathway dysregulation, impaired ubiquitin-proteasome system, oxidative damage, mitochondrial dysfunction and excessive neuroinflammation. There is still no effective drug that could halt the progression of neurodegenerative diseases, and the current treatments are mainly symptomatic. In this regard, the development of novel multi-target pharmaceutical approaches presents an attractive therapeutic strategy. Ibudilast, an anti-inflammatory drug firstly developed as an asthma treatment, is a cyclic nucleotide phosphodiesterases (PDEs) inhibitor, which mainly acts by increasing the amount of cyclic adenosine monophosphate (cAMP) and cyclic guanosine monophosphate (cGMP), while downregulating the pro-inflammatory factors, such as tumor necrosis factor-alpha (TNF-alpha), macrophage migration inhibitory factor (MIF) and Toll-like receptor 4 (TLR-4). The preclinical evidence shows that ibudilast may act neuroprotectively in neurodegenerative diseases, by suppressing neuroinflammation, inhibiting apoptosis, regulating the mitochondrial function and by affecting the ubiquitin-proteasome and autophagosome-lysosome pathways, as well as by attenuating oxidative stress. The clinical trials in ALS and progressive MS also show some promising results. Herein, we aim to provide an update on the emerging preclinical and clinical evidence on the therapeutic potential of ibudilast in these disorders, discuss the potential challenges and suggest the future directions.","['Phosphodiesterase (PDE', 'tumor necrosis factor-alpha', 'TNF-alpha', 'macrophage migration inhibitory factor', 'MIF', 'Toll-like receptor 4', 'TLR-4']","['Ibudilast', 'Ibudilast', 'cyclic adenosine monophosphate', 'cAMP', 'cyclic guanosine monophosphate', 'cGMP', 'ibudilast', 'ibudilast']","['Neurodegenerative Diseases', 'Neurodegenerative diseases', 'central nervous system disorders', 'neuronal degeneration', ""Alzheimer's disease"", ""Parkinson's disease"", 'amyolotrophic lateral sclerosis', 'ALS', 'multiple sclerosis', 'MS', 'neurodegenerative diseases', 'mitochondrial dysfunction', 'neuroinflammation', 'neurodegenerative diseases', 'inflammatory', 'asthma', 'inflammatory', 'neurodegenerative diseases', 'neuroinflammation', 'ALS', 'MS']"
34975460,Front Aging Neurosci,"['Gao P', 'Li X', 'Du X', 'Liu S', 'Xu Y']",Diagnostic and Therapeutic Potential of Exosomes in Neurodegenerative Diseases.,"Neurodegenerative diseases are closely related to brain function and the progression of the diseases are irreversible. Due to brain tissue being not easy to acquire, the study of the pathophysiology of neurodegenerative disorders has many limitations-lack of reliable early biomarkers and personalized treatment. At the same time, the blood-brain barrier (BBB) limits most of the drug molecules into the damaged areas of the brain, which makes a big drop in the effect of drug treatment. Exosomes, a kind of endogenous nanoscale vesicles, play a key role in cell signaling through the transmission of genetic information and proteins between cells. Because of the ability to cross the BBB, exosomes are expected to link peripheral changes to central nervous system (CNS) events as potential biomarkers, and can even be used as a therapeutic carrier to deliver molecules specifically to CNS. Here we summarize the role of exosomes in pathophysiology, diagnosis, prognosis, and treatment of some neurodegenerative diseases (Alzheimer's Disease, Parkinson's Disease, Huntington's Disease, Amyotrophic Lateral Sclerosis).",[],[],"['Neurodegenerative Diseases', 'Neurodegenerative diseases', 'neurodegenerative disorders', 'neurodegenerative diseases', ""Alzheimer's Disease"", ""Parkinson's Disease"", ""Huntington's Disease"", 'Amyotrophic Lateral Sclerosis']"
30542906,Neurotherapeutics,"['Sudhakar V', 'Richardson RM']",Gene Therapy for Neurodegenerative Diseases.,"Gene therapy has the potential to provide therapeutic benefit to millions of people with neurodegenerative diseases through several means, including direct correction of pathogenic mechanisms, neuroprotection, neurorestoration, and symptom control. Therapeutic efficacy is therefore dependent on knowledge of the disease pathogenesis and the required temporal and spatial specificity of gene expression. An additional critical challenge is achieving the most complete transduction of the target structure while avoiding leakage into neighboring regions or perivascular spaces. The gene therapy field has recently entered a new technological era, in which interventional MRI-guided convection-enhanced delivery (iMRI-CED) is the gold standard for verifying accurate vector delivery in real time. The availability of this advanced neurosurgical technique may accelerate the translation of the promising preclinical therapeutics under development for neurodegenerative disorders, including Parkinson's, Huntington's, and Alzheimer's diseases.",[],[],"['Neurodegenerative Diseases', 'neurodegenerative diseases', 'neurodegenerative disorders', ""Parkinson's"", ""Huntington's"", ""Alzheimer's diseases""]"
35372329,Front Cell Dev Biol,"['Milicevic K', 'Rankovic B', 'Andjus PR', 'Bataveljic D', 'Milovanovic D']",Emerging Roles for Phase Separation of RNA-Binding Proteins in Cellular Pathology of ALS.,"Liquid-liquid phase separation (LLPS) is emerging as a major principle for the mesoscale organization of proteins, RNAs, and membrane-bound organelles into biomolecular condensates. These condensates allow for rapid cellular responses to changes in metabolic activities and signaling. Nowhere is this regulation more important than in neurons and glia, where cellular physiology occurs simultaneously on a range of time- and length-scales. In a number of neurodegenerative diseases, such as Amyotrophic Lateral Sclerosis (ALS), misregulation of biomolecular condensates leads to the formation of insoluble aggregates-a pathological hallmark of both sporadic and familial ALS. Here, we summarize how the emerging knowledge about the LLPS of ALS-related proteins corroborates with their aggregation. Understanding the mechanisms that lead to protein aggregation in ALS and how cells respond to these aggregates promises to open new directions for drug development.",[],[],"['ALS', 'neurodegenerative diseases', 'Amyotrophic Lateral Sclerosis', 'ALS', 'sporadic and familial ALS', 'ALS']"
31724708,Brain,"['Moll T', 'Shaw PJ', 'Cooper-Knock J']",Disrupted glycosylation of lipids and proteins is a cause of neurodegeneration.,"Glycosyltransferases represent a large family of enzymes that catalyse the biosynthesis of oligosaccharides, polysaccharides, and glycoconjugates. A number of studies have implicated glycosyltransferases in the pathogenesis of neurodegenerative diseases but differentiating cause from effect has been difficult. We have recently discovered that mutations proximal to the substrate binding site of glycosyltransferase 8 domain containing 1 (GLT8D1) are associated with familial amyotrophic lateral sclerosis (ALS). We demonstrated that ALS-associated mutations reduce activity of the enzyme suggesting a loss-of-function mechanism that is an attractive therapeutic target. Our work is the first evidence that isolated dysfunction of a glycosyltransferase is sufficient to cause a neurodegenerative disease, but connection between neurodegeneration and genetic variation within glycosyltransferases is not new. Previous studies have identified associations between mutations in UGT8 and sporadic ALS, and between ST6GAL1 mutations and conversion of mild cognitive impairment into clinical Alzheimer's disease. In this review we consider potential mechanisms connecting glycosyltransferase dysfunction to neurodegeneration. The most prominent candidates are ganglioside synthesis and impaired addition of O-linked beta-N-acetylglucosamine (O-GlcNAc) groups to proteins important for axonal and synaptic function. Special consideration is given to examples where genetic mutations within glycosyltransferases are associated with neurodegeneration in recognition of the fact that these changes are likely to be upstream causes present from birth.","['glycosyltransferase 8 domain containing 1', 'GLT8D1', 'UGT8', 'ST6GAL1', 'O-GlcNAc']","['lipids', 'oligosaccharides', 'polysaccharides', 'ganglioside', 'O-linked beta-N-acetylglucosamine']","['neurodegeneration', 'neurodegenerative diseases', 'familial amyotrophic lateral sclerosis', 'ALS', 'ALS', 'neurodegenerative disease', 'neurodegeneration', 'ALS', 'cognitive impairment', ""Alzheimer's disease"", 'neurodegeneration', 'neurodegeneration']"
